일련번호,보유기술
DEV10154,Java;Kotlin;Node.js;Docker;Git;Svelte;AWS;Google Cloud Platform;Firebase;MySQL;PostgreSQL;SQLite
DEV10155,Bash/Shell;C;Python;Docker;Git
DEV10156,HTML/CSS;Java;JavaScript;Node.js;TypeScript;Git;Angular;Angular.js;Microsoft Azure;Elasticsearch;Microsoft SQL Server;Redis
DEV10157,JavaScript;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Express;Gatsby;React.js;MongoDB;PostgreSQL
DEV10158,C#;JavaScript;PHP;PowerShell;SQL;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;Couchbase;MariaDB;Microsoft SQL Server;MongoDB;MySQL
DEV10159,HTML/CSS;JavaScript;Node.js;PHP;SQL;Git;React.js;Vue.js;MariaDB;Microsoft SQL Server;MySQL
DEV10160,Bash/Shell;JavaScript;Node.js;Python;Docker;Git;Terraform;Express;React.js;AWS;DynamoDB;MongoDB
DEV10161,Go;Node.js;Python;TypeScript;Docker;Pulumi;Flask;AWS;Google Cloud Platform;Microsoft Azure
DEV10162,Bash/Shell;C;C++;HTML/CSS;JavaScript;Perl;Python;Rust;SQL;Ansible;Docker;Git;Kubernetes;Flask;Vue.js;MongoDB;PostgreSQL;SQLite
DEV10163,Bash/Shell;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Kubernetes;Pulumi;Terraform;Express;React.js;AWS;PostgreSQL;Redis
DEV10164,JavaScript;Git;jQuery;SQLite
DEV10165,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;Git;jQuery;Spring;MariaDB
DEV10166,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;Git;Unity 3D;Angular.js;jQuery;React.js;MongoDB;MySQL;SQLite
DEV10167,HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Terraform;Django;Flask;React.js;AWS;PostgreSQL;Redis
DEV10168,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Docker;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server
DEV10169,HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;SQL;Ansible;Docker;Git;Kubernetes;Django;jQuery;React.js;Microsoft Azure;Elasticsearch;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite
DEV10170,HTML/CSS;Java;JavaScript;PHP;Python;SQL;Git;Angular;Django;jQuery;Spring;AWS;Heroku;Microsoft Azure;MySQL
DEV10171,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;jQuery;React.js;Microsoft SQL Server;MySQL;PostgreSQL
DEV10172,Haskell;Java;JavaScript;SQL;Git;React.js;SQLite
DEV10173,HTML/CSS;JavaScript;Node.js;Docker;Terraform;React.js;AWS;MongoDB;PostgreSQL
DEV10174,SQL;Git;ASP.NET;jQuery;Microsoft Azure;Microsoft SQL Server
DEV10175,HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Yarn;Express;React.js;Vue.js;AWS;DigitalOcean;Microsoft Azure;Microsoft SQL Server;MySQL
DEV10176,Bash/Shell;Java;JavaScript;Node.js;Python;SQL;Docker;Git;Yarn;Spring;AWS;MySQL;PostgreSQL
DEV10177,Bash/Shell;C#;Haskell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;Ruby;SQL;TypeScript;Docker;Git;Terraform;Unity 3D;Django;Express;FastAPI;Flask;Gatsby;jQuery;React.js;Ruby on Rails;Spring;AWS;Heroku;DynamoDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite
DEV10178,Bash/Shell;C;C#;HTML/CSS;JavaScript;LISP;Python;SQL;Docker;Git;Flask;jQuery;Microsoft SQL Server;SQLite
DEV10179,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;Flow;Git;Puppet;Unity 3D;Unreal Engine;Angular;Angular.js;ASP.NET;jQuery;Laravel;React.js;Spring;Symfony;Vue.js;AWS;DigitalOcean;MySQL;Oracle;SQLite
DEV10180,Bash/Shell;Go;Ansible;Docker;Git;Terraform;DigitalOcean;Heroku;Microsoft Azure;MariaDB;MySQL;SQLite
DEV10181,Bash/Shell;HTML/CSS;JavaScript;Node.js;Rust;TypeScript;Git;Express;AWS;DynamoDB
DEV10182,C++;Clojure;Docker;Git
DEV10183,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;Python;SQL;Flask;Google Cloud Platform;MySQL
DEV10184,C++;JavaScript;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;React.js;MariaDB
DEV10185,Bash/Shell;HTML/CSS;PowerShell;VBA;Microsoft Azure
DEV10186,Java;Kotlin;Git;SQLite
DEV10187,Bash/Shell;Java;JavaScript;TypeScript;Docker;Git;Angular;Spring;MongoDB
DEV10188,C#;Crystal;HTML/CSS;SQL;VBA;ASP.NET;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;Oracle
DEV10189,HTML/CSS;JavaScript;Node.js;Ruby;SQL;TypeScript;Git;Yarn;React.js;Ruby on Rails
DEV10190,Bash/Shell;JavaScript;Node.js;SQL;Git;Express;AWS;DynamoDB;MongoDB;PostgreSQL
DEV10191,C;JavaScript;Python;Ansible;Docker;Git;Kubernetes;AWS;Microsoft Azure;Elasticsearch
DEV10192,Python;SQL;Docker;Django;React.js;AWS;Microsoft Azure;DynamoDB;Microsoft SQL Server;PostgreSQL
DEV10193,HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Angular;Express;jQuery;React.js;Spring;MySQL
DEV10194,Bash/Shell;Go;Groovy;Java;JavaScript;Kotlin;Ruby;SQL;Chef;Docker;Git;Yarn;Spring;Elasticsearch;PostgreSQL
DEV10195,Python;Docker;Git;AWS;SQLite
DEV10196,Bash/Shell;C#;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;Ansible;Chef;Docker;Git;Terraform;Angular;Django;Express;FastAPI;Flask;Gatsby;jQuery;React.js;AWS;DigitalOcean;Microsoft Azure;MySQL;Oracle;PostgreSQL;SQLite
DEV10197,Bash/Shell;C#;C++;Dart;HTML/CSS;Java;JavaScript;Python;TypeScript;Docker;Git;Kubernetes;React.js;Google Cloud Platform;MongoDB;PostgreSQL;Redis
DEV10198,HTML/CSS;JavaScript;Python;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;MySQL
DEV10199,C#;HTML/CSS;JavaScript;SQL;VBA;ASP.NET;ASP.NET Core ;IBM DB2;Microsoft SQL Server;MySQL
DEV10200,HTML/CSS;JavaScript;SQL;Git;Yarn;Django;React.js;AWS;Google Cloud Platform;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis
DEV10201,Java;Node.js;Perl;Python;Git;Express;React.js;Spring;AWS;PostgreSQL
DEV10202,Bash/Shell;C#;HTML/CSS;JavaScript;Python;SQL;Docker;Git;ASP.NET;ASP.NET Core ;Microsoft SQL Server
DEV10203,Bash/Shell;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Ansible;Chef;Docker;Git;Kubernetes;Unreal Engine;Yarn;jQuery;Laravel;React.js;Spring;Vue.js;AWS;Google Cloud Platform;DynamoDB;Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis;SQLite
DEV10204,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;React.js;Vue.js;Heroku;Microsoft Azure;Firebase;Microsoft SQL Server;PostgreSQL
DEV10205,Elixir;HTML/CSS;JavaScript;Node.js;PHP;SQL;Docker;Git;Kubernetes;Laravel;Vue.js;DigitalOcean;MariaDB;MySQL;Redis
DEV10206,Bash/Shell;Python;Git;AWS;Elasticsearch
DEV10207,Go;Python;Scala;Git;AWS;Google Cloud Platform;MySQL;Redis
DEV10208,Java;Kotlin;Python;Scala;Docker;Git;Spring;AWS;DynamoDB;Elasticsearch;MySQL
DEV10209,HTML/CSS;JavaScript;Node.js;TypeScript;Git;Kubernetes;jQuery;React.js;AWS;Elasticsearch;Microsoft SQL Server;Redis
DEV10210,Java;Kotlin;Docker;Git;Kubernetes;Spring;AWS;PostgreSQL
DEV10211,C#;Go;HTML/CSS;JavaScript;PowerShell;Rust;Git;ASP.NET Core ;Microsoft SQL Server;PostgreSQL
DEV10212,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;Git;ASP.NET;ASP.NET Core ;AWS;Microsoft SQL Server
DEV10213,C#;Java;JavaScript;SQL;TypeScript;Docker;Git;Kubernetes;Xamarin;Angular;Angular.js;ASP.NET;ASP.NET Core ;AWS;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;MySQL;PostgreSQL;SQLite
DEV10214,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;Docker;Git;Xamarin;ASP.NET Core ;React.js;Microsoft Azure;Microsoft SQL Server
DEV10215,Bash/Shell;C;C++;Go;Groovy;HTML/CSS;JavaScript;Node.js;Python;Docker;Git;Kubernetes;Terraform;Express;Flask;Gatsby;jQuery;React.js;AWS;DynamoDB;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite
DEV10216,C#;HTML/CSS;SQL;VBA;Ansible;Docker;Git;Yarn;Angular;ASP.NET;ASP.NET Core ;React.js;AWS;Google Cloud Platform;Microsoft SQL Server;PostgreSQL;Redis
DEV10217,C;C++;HTML/CSS;Java;JavaScript;Node.js;Perl;SQL;Docker;Git;jQuery;PostgreSQL
DEV10218,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;jQuery;Microsoft SQL Server
DEV10219,C++;Dart;HTML/CSS;JavaScript;Python;Docker;Git;Yarn;Django;Flask;jQuery;AWS;DigitalOcean;Microsoft Azure;MySQL;PostgreSQL;Redis;SQLite
DEV10220,HTML/CSS;JavaScript;Kotlin;Objective-C;SQL;Swift;Git;Angular.js;PostgreSQL
DEV10221,Go;HTML/CSS;Java;JavaScript;Objective-C;TypeScript;Git;Yarn;Gatsby;React.js;AWS;Google Cloud Platform;Firebase;Redis
DEV10222,C#;JavaScript;Node.js;TypeScript;Git;Yarn;ASP.NET;ASP.NET Core ;React.js;Microsoft Azure;Microsoft SQL Server
DEV10223,Bash/Shell;C++;Go;HTML/CSS;JavaScript;SQL;Git;AWS;Google Cloud Platform;MongoDB;PostgreSQL
DEV10224,Java;JavaScript;Git;Yarn;Express;React.js;Svelte;Vue.js;AWS;MongoDB;MySQL;Redis
DEV10225,Java;Kotlin;Git;SQLite
DEV10226,Bash/Shell;Elixir;Erlang;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Ruby;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;Express;Flask;React.js;Ruby on Rails;AWS;DynamoDB;PostgreSQL;Redis
DEV10227,Bash/Shell;JavaScript;Kotlin;Objective-C;Python;Swift;Git;AWS;SQLite
DEV10228,Perl;Python;SQL;Git;Flask;AWS;MariaDB;PostgreSQL;SQLite
DEV10229,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript;Docker;Git;Kubernetes;Angular;Drupal;Express;React.js;MySQL
DEV10230,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Kubernetes;Angular;Django;Vue.js;AWS;Cassandra;DynamoDB;PostgreSQL;Redis
DEV10231,Go;SQL;Docker;Git;Terraform;Gatsby;React.js;Ruby on Rails;AWS;MySQL;PostgreSQL
DEV10232,HTML/CSS;JavaScript;Node.js;TypeScript;Git;Express;React.js;AWS;Heroku;MongoDB
DEV10233,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Git;Kubernetes;Terraform;Express;FastAPI;React.js;AWS;DynamoDB;MySQL;PostgreSQL
DEV10234,Assembly;Bash/Shell;C;C#;C++;Crystal;Elixir;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;Ruby;Rust;SQL;Ansible;Docker;Git;Yarn;Drupal;jQuery;React.js;Ruby on Rails;Symfony;AWS;DigitalOcean;Heroku;DynamoDB;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis
DEV10235,Python;R;Git
DEV10236,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Yarn;Angular;Express;jQuery;React.js;AWS;Google Cloud Platform;Firebase;MySQL;PostgreSQL;SQLite
DEV10237,JavaScript;Python;VBA;Git;Yarn;Django;jQuery;AWS;DigitalOcean;PostgreSQL;SQLite
DEV10238,Bash/Shell;C#;JavaScript;Node.js;Python;TypeScript;Docker;Git;Kubernetes;Terraform;Angular;Angular.js;Express;Flask;React.js;Vue.js;AWS;Microsoft Azure;MongoDB;MySQL;PostgreSQL;Redis
DEV10239,Bash/Shell;C#;HTML/CSS;Java;PHP;PowerShell;SQL;Docker;ASP.NET Core ;jQuery;Oracle
DEV10240,HTML/CSS;JavaScript;Node.js;SQL;Git;Yarn;Express;React.js;MongoDB;PostgreSQL
DEV10241,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;Python;TypeScript;Docker;Kubernetes;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server
DEV10242,VBA
DEV10243,Bash/Shell;C++;Groovy;Java;JavaScript;SQL;Docker;Git;Kubernetes;Yarn;jQuery;React.js;Spring;AWS;Heroku;Elasticsearch;MySQL;Oracle;Redis
DEV10244,Bash/Shell;HTML/CSS;JavaScript;Python;Git;AWS;Google Cloud Platform;Microsoft Azure
DEV10245,Assembly;C;C++;JavaScript;Node.js;Python;R;TypeScript;Docker;Git;ASP.NET;ASP.NET Core ;Django;Flask;React.js;AWS;Heroku;Microsoft Azure;SQLite
DEV10246,HTML/CSS;Python;R;SQL;AWS;Google Cloud Platform;Microsoft SQL Server;MySQL;PostgreSQL;SQLite
DEV10247,Bash/Shell;Objective-C;Python;Swift;Git;SQLite
DEV10248,Elixir;JavaScript;Ansible;Yarn;AWS;PostgreSQL
DEV10249,HTML/CSS;Java;JavaScript;Python;Docker;Git;Django;jQuery;Spring;Vue.js;MySQL;PostgreSQL
DEV10250,HTML/CSS;JavaScript;Node.js;PHP;Docker;Git;Yarn;Express;Laravel;React.js;Vue.js;AWS;DigitalOcean;Google Cloud Platform;MySQL
DEV10251,JavaScript;Git;Yarn;jQuery;React.js
DEV10252,Delphi;JavaScript;PHP;jQuery;Microsoft SQL Server;MySQL
DEV10253,C#;JavaScript;PowerShell;SQL;Docker;Git;Angular.js;ASP.NET;jQuery;React.js;Microsoft SQL Server;Redis
DEV10254,C#;HTML/CSS;SQL;Microsoft SQL Server
DEV10255,Bash/Shell;JavaScript;Node.js;PHP;Python;TypeScript;Ansible;Docker;Git;Terraform;Yarn;Flask;jQuery;React.js;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;MySQL
DEV10256,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Git;Yarn;Express;jQuery;React.js;AWS;Google Cloud Platform;Heroku;DynamoDB;Firebase;MongoDB;MySQL;Redis
DEV10257,C#;Java;Kotlin;Node.js;PowerShell;Rust;TypeScript;Git;Unity 3D;Microsoft Azure;Microsoft SQL Server
DEV10258,C#;Dart;HTML/CSS;JavaScript;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;ASP.NET;ASP.NET Core ;React.js;Google Cloud Platform;Microsoft Azure;Couchbase;Firebase;Microsoft SQL Server;PostgreSQL;Redis
DEV10259,C;HTML/CSS;Java;Python;SQL;Git;Django;React.js;Firebase;MySQL
DEV10260,Bash/Shell;C;C++;COBOL;Go;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;Docker;Git;React.js;AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure;DynamoDB;Elasticsearch;MongoDB;MySQL
DEV10261,C#;SQL;Git;Terraform;ASP.NET;ASP.NET Core ;AWS;Microsoft SQL Server
DEV10262,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Node.js;Python;Rust;SQL;TypeScript;Ansible;Docker;Git;Kubernetes;Yarn;Gatsby;React.js;Google Cloud Platform;Heroku;Oracle Cloud Infrastructure;Elasticsearch;PostgreSQL;Redis
DEV10263,HTML/CSS;JavaScript;PHP;Python;SQL;Deno;Docker;Git;Unreal Engine;Django;jQuery;Laravel;React.js;Vue.js;AWS;DigitalOcean;Heroku;MariaDB;MySQL;SQLite
DEV10264,Bash/Shell;C;C++;Dart;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript;Ansible;Docker;Git;Vue.js;AWS;MongoDB;SQLite
DEV10265,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;VBA;Docker;Git;Flask;jQuery;AWS;Heroku;Microsoft SQL Server;MySQL;PostgreSQL;SQLite
DEV10266,HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript;Git;Angular;React.js;Spring;Elasticsearch;Firebase;Oracle;SQLite
DEV10267,Bash/Shell;C#
DEV10268,C#;C++;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA;Docker;Git;ASP.NET;ASP.NET Core ;Django;Express;FastAPI;Flask;Vue.js;DigitalOcean;Heroku;Microsoft Azure;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite
DEV10269,C#;C++;Python;Git;Unreal Engine;SQLite
DEV10270,Bash/Shell;Go;Java;Kotlin;Node.js;Ruby;SQL;Ansible;Docker;Git;Kubernetes;Terraform;AWS;Google Cloud Platform;Elasticsearch;MySQL
DEV10271,C#;ASP.NET
DEV10272,Bash/Shell;Elixir;Go;HTML/CSS;JavaScript;Node.js;PHP;TypeScript;Docker;Git;Vue.js;DigitalOcean;PostgreSQL
DEV10273,C;C#;HTML/CSS;JavaScript;SQL;VBA;Git;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;Oracle
DEV10274,Elixir;JavaScript;Ruby;SQL;TypeScript;React.js;Ruby on Rails;AWS;Google Cloud Platform;PostgreSQL;Redis
DEV10275,Bash/Shell;C#;HTML/CSS;Java;JavaScript;SQL;VBA;Docker;Git;Yarn;Angular;Angular.js;jQuery;React.js;Spring;Heroku;Microsoft SQL Server;MongoDB;Oracle;SQLite
DEV10276,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Docker;Git;Kubernetes;Express;Flask;jQuery;Laravel;React.js;Vue.js;AWS;MySQL;PostgreSQL;Redis
DEV10277,C;HTML/CSS;JavaScript;Node.js;TypeScript;Git;Yarn;Express;React.js;AWS;MongoDB
DEV10278,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Perl;PHP;Python;R;Ruby;SQL;Ansible;Git;Puppet;MariaDB;MySQL;PostgreSQL;SQLite
DEV10279,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Git;Yarn;jQuery;Laravel;Vue.js;AWS;DigitalOcean;MariaDB;MySQL;SQLite
DEV10280,HTML/CSS;JavaScript;PHP;SQL;Git;jQuery;Oracle
DEV10281,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;VBA;Ansible;Git;Angular.js;React.js;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite
DEV10282,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;Microsoft Azure
DEV10283,C#;HTML/CSS;JavaScript;TypeScript;VBA;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft Azure;Firebase;Microsoft SQL Server
DEV10284,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;SQL;Git;Xamarin;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;SQLite
DEV10285,C#;C++;Python;Git;Unity 3D
DEV10286,C#;HTML/CSS;Git;ASP.NET Core ;Microsoft SQL Server
DEV10287,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;Angular;ASP.NET;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server
DEV10288,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Yarn;Angular;Express;AWS;Microsoft Azure;Elasticsearch;Microsoft SQL Server
DEV10289,HTML/CSS;JavaScript;PHP;SQL;TypeScript;AWS;MySQL
DEV10290,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;R;Scala;SQL;TypeScript;Docker;Git;Kubernetes;React.js;AWS;DynamoDB;Elasticsearch;PostgreSQL
DEV10291,JavaScript;Node.js;Git;Google Cloud Platform
DEV10292,JavaScript;PowerShell;Python;SQL;Docker;Git;Django;React.js;AWS;DigitalOcean;Heroku;Elasticsearch;PostgreSQL
DEV10293,C#;Crystal;PowerShell;SQL;VBA;Microsoft Azure;Microsoft SQL Server
DEV10294,Bash/Shell;C;Matlab;Python;Git
DEV10295,Assembly;Bash/Shell;C;C++;Java;Python;R;Docker;Git;AWS;Google Cloud Platform;Microsoft Azure
DEV10296,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Git;Angular;ASP.NET;Express;Flask;jQuery;Spring;AWS;Microsoft SQL Server;MySQL
DEV10297,Bash/Shell;C;C++;HTML/CSS;JavaScript;Objective-C;Perl;PHP;Python;SQL;Git;PostgreSQL;Redis;SQLite
DEV10298,Java;Python;Rust;Docker;Git;Django;AWS;Elasticsearch
DEV10299,Bash/Shell;HTML/CSS;Python;Rust;TypeScript;Docker;Git;Terraform;Yarn;Express;React.js;AWS;DigitalOcean;PostgreSQL
DEV10300,Bash/Shell;C#;Elixir;Erlang;Python;Docker;Git;Kubernetes;Unity 3D;ASP.NET;ASP.NET Core ;Django;Flask;Heroku;Microsoft Azure;PostgreSQL;SQLite
DEV10301,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Swift;Git;Spring;MySQL;Oracle
DEV10302,Elixir;Erlang;HTML/CSS;JavaScript;Docker;Git;Kubernetes;Angular;React.js;AWS;DigitalOcean;PostgreSQL
DEV10303,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Terraform;Express;React.js;Svelte;AWS;DynamoDB;MariaDB;SQLite
DEV10304,HTML/CSS;JavaScript;Node.js;Ruby;SQL;TypeScript;Git;Yarn;Angular;Angular.js;Express;React.js;Ruby on Rails;AWS;Elasticsearch;PostgreSQL;Redis
DEV10305,JavaScript;Node.js;Docker;Git;Kubernetes;Yarn;React.js;PostgreSQL
DEV10306,Elixir;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Django;FastAPI;Flask;React.js;AWS;DigitalOcean;Google Cloud Platform;PostgreSQL;Redis
DEV10307,Bash/Shell;JavaScript;Ruby;SQL;TypeScript;Docker;Git;Angular;Angular.js;Ruby on Rails;AWS;Elasticsearch;PostgreSQL;Redis
DEV10308,JavaScript;Node.js;Git;AWS;DigitalOcean;Google Cloud Platform;Firebase;MongoDB
DEV10309,C#;JavaScript;PowerShell;SQL;Git;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;IBM DB2;Microsoft SQL Server
DEV10310,HTML/CSS;JavaScript;PHP;SQL;Docker;Git;Kubernetes;Laravel;React.js;Vue.js;DigitalOcean;MySQL;Redis;SQLite
DEV10311,Java;JavaScript;Node.js;Objective-C;Ruby;Swift;TypeScript;Git;React.js
DEV10312,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript;VBA;Docker;Git;Express;React.js;AWS;DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL
DEV10313,Go;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;React.js;AWS;MariaDB;MySQL;PostgreSQL
DEV10314,C#;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Git;Angular.js;Gatsby;React.js;AWS;Heroku;Microsoft Azure;Firebase;MongoDB;PostgreSQL
DEV10315,C;C++;Java;Docker;React.js;Spring;AWS;DigitalOcean;Google Cloud Platform;MongoDB;PostgreSQL
DEV10316,Bash/Shell;C++;HTML/CSS;Perl;PowerShell;Python;SQL;Ansible;Docker;Git;Terraform;AWS;Elasticsearch;Oracle;PostgreSQL
DEV10317,C#;Java;Python;SQL;Docker;Git;Kubernetes;Yarn;ASP.NET Core ;Flask;AWS;Google Cloud Platform;Cassandra;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL
DEV10318,C#;HTML/CSS;JavaScript;SQL;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server
DEV10319,Bash/Shell;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;Express;Flask;Gatsby;React.js;Google Cloud Platform;PostgreSQL
DEV10320,R;SQL;Microsoft Azure;Microsoft SQL Server
DEV10321,R
DEV10322,Go;HTML/CSS;Node.js;SQL;TypeScript;Docker;Git;Kubernetes;Pulumi;Yarn;Angular;AWS;Microsoft Azure;MySQL
DEV10323,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;React.js;AWS;DynamoDB;Elasticsearch;MySQL;PostgreSQL;Redis
DEV10324,JavaScript;TypeScript;Docker;Git;Drupal;Express;jQuery;React.js;MongoDB;MySQL
DEV10325,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Perl;Python;Docker;Git;Kubernetes;Xamarin;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;AWS;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite
DEV10326,C#;F#;Haskell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Docker;Git;Unity 3D;Yarn;ASP.NET;ASP.NET Core ;React.js;AWS;DynamoDB;Microsoft SQL Server;PostgreSQL;Redis
DEV10327,C++;Julia;Python;Docker;Git;AWS;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL
DEV10328,Bash/Shell;C++;Groovy;Java;Ansible;Git;Kubernetes;Terraform;AWS;PostgreSQL;Redis
DEV10329,Java;Git;Spring;AWS;DynamoDB
DEV10330,Bash/Shell;Go;Java;JavaScript;Scala;Chef;Docker;Git;Kubernetes;Cassandra;Elasticsearch;MySQL;Oracle
DEV10331,Bash/Shell;Groovy;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Kubernetes;Yarn;Vue.js;AWS;MySQL;PostgreSQL
DEV10332,C#;HTML/CSS;JavaScript;Scala;SQL;ASP.NET;jQuery;Microsoft Azure;Microsoft SQL Server;Oracle
DEV10333,C#;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Docker;Git;Pulumi;Terraform;Angular;Angular.js;ASP.NET;ASP.NET Core ;React.js;Microsoft Azure;Microsoft SQL Server
DEV10334,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Python;Git;Xamarin;jQuery;Firebase;MySQL;SQLite
DEV10335,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;Ruby;TypeScript;Docker;Git;Terraform;Yarn;jQuery;React.js;Ruby on Rails;AWS;Heroku;Elasticsearch;PostgreSQL;Redis;SQLite
DEV10336,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;jQuery;React.js;Spring;AWS;DynamoDB;MongoDB;MySQL
DEV10337,Dart;Node.js;Objective-C;SQL;Swift;Git;Firebase;SQLite
DEV10338,Python;SQL;Ansible;Git;AWS;PostgreSQL
DEV10339,Go;HTML/CSS;Java;JavaScript;LISP;Node.js;PHP;Python;TypeScript;Docker;Git;Express;Flask;React.js;Vue.js;AWS;Elasticsearch;PostgreSQL
