일련번호,보유기술
DEV44,Bash/Shell;HTML/CSS;JavaScript;Python;SQL;Git;Django;React.js;AWS;IBM DB2;Microsoft SQL Server;SQLite
DEV45,HTML/CSS;Java;PHP
DEV46,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python;Docker;Git;Kubernetes;IBM Cloud or Watson
DEV47,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript;Git;Gatsby;React.js;Google Cloud Platform;Microsoft Azure;Firebase;SQLite
DEV48,Bash/Shell;Python;Git;Flask;Vue.js
DEV49,C#;HTML/CSS;JavaScript;SQL;VBA;Git;ASP.NET;ASP.NET Core ;jQuery;Microsoft SQL Server
DEV50,Bash/Shell;C;C++;JavaScript;Python;Git
DEV51,C#;Dart;Go;Java;JavaScript;Matlab;SQL;Xamarin;Angular;Angular.js;ASP.NET;jQuery;React.js;AWS;IBM Cloud or Watson;Microsoft Azure;Microsoft SQL Server
DEV52,Bash/Shell;Perl;PowerShell;VBA;Docker;Git;AWS
DEV53,HTML/CSS;JavaScript;PHP;SQL;Docker;Git;jQuery;Laravel;React.js;Vue.js;AWS;MySQL
DEV54,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL;Git;Puppet;Express;React.js;Microsoft Azure;IBM DB2;PostgreSQL
DEV55,Matlab;Python;Ruby;Git;Flask
DEV56,C#;HTML/CSS;TypeScript;Docker;Git;Angular;ASP.NET Core ;Microsoft Azure;Microsoft SQL Server;SQLite
DEV57,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python;Git;Unity 3D;AWS
DEV58,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript;Git;Kubernetes;Angular;Angular.js;Express;React.js;Spring;AWS;Google Cloud Platform;Microsoft Azure;Elasticsearch;MongoDB;SQLite
DEV59,Assembly;C;C#;VBA;SQLite
DEV60,Assembly;Bash/Shell;C;Go;Python;Rust;Git
DEV61,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Git
DEV62,Bash/Shell;C#;Java;Kotlin;SQL;VBA;Docker;Git;Kubernetes;Spring;IBM Cloud or Watson;Microsoft SQL Server;PostgreSQL
DEV63,C#;PowerShell;Python;Git;Microsoft Azure;Microsoft SQL Server;SQLite
DEV64,Objective-C;Ruby;Swift;Git;Unity 3D;MySQL
DEV65,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript;Git;ASP.NET;ASP.NET Core ;Express;jQuery;React.js;AWS;Microsoft Azure;Firebase;Microsoft SQL Server;Redis;SQLite
DEV66,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript;Docker;Git;Yarn;jQuery;Laravel;Ruby on Rails;Vue.js;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite
DEV67,Go;Docker;Cassandra
DEV68,Python;ASP.NET Core ;Microsoft SQL Server;MySQL;PostgreSQL;SQLite
DEV69,LISP;PHP;Python;Scala;SQL;Docker;MySQL;PostgreSQL;SQLite
DEV70,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript;Git;Yarn;React.js;Ruby on Rails;Spring;MySQL;PostgreSQL
DEV71,Bash/Shell;JavaScript;PHP;SQL;Git;AWS;DigitalOcean;MySQL
DEV72,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;SQL;Docker;Git;React.js;Spring;AWS;Google Cloud Platform;Oracle;PostgreSQL
DEV73,Python;Docker;Git;Kubernetes;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;MongoDB;PostgreSQL
DEV74,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Docker;Git;Angular;Angular.js;AWS;Google Cloud Platform;Elasticsearch;MongoDB;MySQL;Oracle
DEV75,C#;Git;ASP.NET Core ;Vue.js;Microsoft Azure;Microsoft SQL Server
DEV76,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Yarn;Express;Gatsby;jQuery;React.js
DEV77,HTML/CSS;JavaScript;Angular.js;jQuery
DEV78,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Git;Yarn;Angular;Express;React.js;Symfony;Google Cloud Platform;Elasticsearch;Firebase;MySQL
